new number,speaker,content
15,H.N.,'Die' means when the light bulbs go out.
16,R.Y.,"My Theory yes, there are wet cell, a wet cell is a galvanic electrochemical cell with a liquid electrolyte,while a dry cell is a cell with pasty electrolyte. "
17,V.Y.,"My Theory yes, there are wet cell, a wet cell is a galvanic electrochemical cell with a liquid electrolyte,while a dry cell is a cell with pasty electrolyte. "
18,i.l.,I need to understand Is there any example of wet cell used nowadays ??
19,V.Y.,"Opinion It is often built with common laboratory supplies, like beakers, for demonstrations of how electrochemical cell work. :))))"
20,R.Y.,"Opinion It is often built with common laboratory supplies, like beakers, for demonstrations of how electrochemical cell work. :))))"
21,R.C.,"New information Examples are, car battery, lead-acid battery, galvanic cell ..."
22,V.C.,"New information Examples are, car battery, lead-acid battery, galvanic cell ..."
23,S.T.,Primary wet cell : Concentration cell(understanding corrosion) Built in laboratory with simple appartus( eg. beakers) (demonstrations of how electrochemical cell work) not common nowadays  Secondary wet cell: Car battery
24,i.l.,"Putting our knowledge together It is good that you all find the examples of wet cell. Why are they called WET cell, but not DRY ?? ""Examples are, car battery, lead-acid battery, galvanic cell... "" 1 ans ""Example of wet cell is the lead-acid battery in most cars"" 2 Question 1 ""Primary wet cell: Concentration cell(understanding corrosion) Built in laboratory with simple apparatus( e.g. beakers) (demonstrations of how electrochemical cell work) not common nowadays Secondary wet cell: Car battery"" 3 Examples of wet cell ""It is often built with common laboratory supplies, like beakers, for demonstrations of how electrochemical cell work. :)))) "" 4 examples of wet cell :)))"
25,D.L.,"Putting our knowledge together We think that there is 'wet' cell. When a cell contains liquid electrolyte, it is called a 'wet' cell. When a cell's electrolyte is a paste rather than an aqueous solution, is called a 'dry' cell."
26,O.C.,"Putting our knowledge together We think that there is 'wet' cell. When a cell contains liquid electrolyte, it is called a 'wet' cell. When a cell's electrolyte is a paste rather than an aqueous solution, is called a 'dry' cell."
27,S.K.,I need to understand Must the electrolyte be in a paste form? Can it be in a powder form?
28,J.L.,"Yes, there are wet cell. ""Wet"" cell have a liquid electrolyte, while ""Dry"" cell have a pasty electrolyte ""Wet"" cell leak or drip out when inverted or handled roughtly while ""Dry"" cell do not."
29,S.T.,"Yes, there are wet cell. ""Wet"" cell have a liquid electrolyte, while ""Dry"" cell have a pasty electrolyte ""Wet"" cell leak or drip out when inverted or handled roughtly while ""Dry"" cell do not."
30,J.K.,"My Theory when there is short circuit, there will be a large current and the temperature of the cell will be very high, this will cause reaction of chemicals inside the cell and gas will be formed. Gas pressure in the cell will increase. Gas formed can escape through a 'protectional layer' in good quality cell. In bad products, the protectional layer is absent and gas cannot escape, which will cause explosion of the cell due to high pressure."
31,T.L.,"My Theory when there is short circuit, there will be a large current and the temperature of the cell will be very high, this will cause reaction of chemicals inside the cell and gas will be formed. Gas pressure in the cell will increase. Gas formed can escape through a 'protectional layer' in good quality cell. In bad products, the protectional layer is absent and gas cannot escape, which will cause explosion of the cell due to high pressure."
32,C.W.,"There are zinc-carbon cell, alkaline manganese cell, silver oxide cell and nickel-cadmium cell."
33,p.J.,1. I wonder whether there is any 'wet' cell. How do you distinguish 'wet' and 'dry' cell ? My Theory yes. There is wet cell. The delocolized electron in wet cell is flowing freely while the electron in dry cell can only flow to one direction.
34,A.S.,1. I wonder whether there is any 'wet' cell. How do you distinguish 'wet' and 'dry' cell ? My Theory yes. There is wet cell. The delocolized electron in wet cell is flowing freely while the electron in dry cell can only flow to one direction.
35,H.N.,I need to understand How about the state of the electrolyte? Are they the same in bothe wet and dry cell? 
36,A.L.,"My Theory The battery that explode is a lithium battery. They are commonly found in cell phones.As it provides extremely high current and discharge rapidly when short-circuted. Overheating resulted, the chemicals in the battery will turn to gas form. As it expands, explosion may occur and cause accidents. Therefore, these battery are usually added with overcurrent or thermal protection or vents in oreder to prevent accidents. However, poor battery with low porduction cost do not have this. Therefore, the risk of explosion is high. "
37,R.Y.,Opinion A battery contains two or more connected cell.
38,V.Y.,Opinion A battery consists of two or more connected cell :)))
39,V.N.,What are the different kinds of dry cell nowadays ? How do you compare the lifetime of dry cell by designing an experiment ? 4 kinds of dry cell: Zinc-carbon cell Alkaline Manganese cell Silver Oxide cell Nickel-cadmium Rechargeable cell Experiment to compare the lifetime of dry cell: 1) Choose four brand new dry cell of each kind. They shouold be of same voltage 2) Connect the dry cell of each kind to separate circuit 3) Each circuit should also be connected to a light bulb 4) Complete the circuits 5) Record the time needed for the light to fade and die 6) The dry cell connected to the circuit which takes the longest time for the lightbulb to be completely off has the longest life time 
40,B.C.,What are the different kinds of dry cell nowadays ? How do you compare the lifetime of dry cell by designing an experiment ? 4 kinds of dry cell: Zinc-carbon cell Alkaline Manganese cell Silver Oxide cell Nickel-cadmium Rechargeable cell Experiment to compare the lifetime of dry cell: 1) Choose four brand new dry cell of each kind. They shouold be of same voltage 2) Connect the dry cell of each kind to separate circuit 3) Each circuit should also be connected to a light bulb 4) Complete the circuits 5) Record the time needed for the light to fade and die 6) The dry cell connected to the circuit which takes the longest time for the lightbulb to be completely off has the longest life time 
41,R.K.,"The electricity used by the mobile phone is very high. When there is a short circuit, there will be a chemical reaction and it produces heat and gas. The gas evolved brought a rise in air pressure in the battery. Gradually, the battery will explode due to the the lackage of a protective layer.  The protective layer can prevent this situation by providing a hole and allow the gas to escape."
42,C.M.,"The electricity used by the mobile phone is very high. When there is a short circuit, there will be a chemical reaction and it produces heat and gas. The gas evolved brought a rise in air pressure in the battery. Gradually, the battery will explode due to the the lackage of a protective layer.  The protective layer can prevent this situation by providing a hole and allow the gas to escape."
43,C.T.,"5. You may come across news about explosion of mobile phones. What chemistry is involved to understand this accident ? New information Mobile phones use rechargeable Nickel-cadimium cell. When short circuit occurs, a large current through a battery cause heat to build up rapidly, causing the chemicals in the battery to produce a gas. As the gas accumulates, pressure builds up. Eventually, explosion occur. "
44,J.L.,"5. You may come across news about explosion of mobile phones. What chemistry is involved to understand this accident ? New information Mobile phones use rechargeable Nickel-cadimium cell. When short circuit occurs, a large current through a battery cause heat to build up rapidly, causing the chemicals in the battery to produce a gas. As the gas accumulates, pressure builds up. Eventually, explosion occur. "
45,G.L.,"5. You may come across news about explosion of mobile phones. What chemistry is involved to understand this accident ? New information Mobile phones use rechargeable Nickel-cadimium cell. When short circuit occurs, a large current through a battery cause heat to build up rapidly, causing the chemicals in the battery to produce a gas. As the gas accumulates, pressure builds up. Eventually, explosion occur. "
46,i.l.,New information Do you believe the potato clock shown below ? This is an example of simple chemical cell. I need to understand What is a chemical cell ? How does a chemical cell work ? What are the essential components in a chemical cell ? What are the possible limitations of this chemical cell ? You may raise other questions together.....
47,R.C.,My Theory Chemical cell is a device in which chemical energy is converted into eletrical energy. It consists of two different metals and an electrolyte.
48,V.Y.,Opinion chemical cell is a part of a battery consisting of an electrochemical cell with two different metals connected by a salt bridge or a porous disk between the individual half-cell. It is sometimes called a Voltaic cell. 
49,i.l.,I need to understand You have successfully constructed the chemical cell today. What is the maximum voltage obtained in your chemical cell ? Please describe your chemical cell (including the photo) and the working principle as fas as you can ! 
50,i.l.,I need to understand I agree with you that apple browning is an example of redox. You start with nice explanation here ! But what is the brown substance formed ? How is the process identified as oxidation and reduction as well ?? What is the role of oxygen in the process ???
51,p.J.,answering the follow up question : The electrolyte is aqueous state in wet cell while solid state in dry cell.
52,T.L.,My Theory I think that MgCl2 can also conduct electricity as there are mobile ions in the solution.
53,V.Y.,Opinion i think it will still conduct elecricity as MgCl2 is an aqueous solution. Cu may not affect the solution on conducting electricity as it does not react with either HCl or MgCl2.
54,A.L.,"My Theory i guess it still conduct electricity as it is still an aqueous solution. But i think when the HCl turns to MgCl2, the cell starts to die down. I need to understand I want to know where the hydrogen ions go? do they release as hydrogen gas? "
55,V.Y.,Opinion i think the hydrogen ions are released a hydrogen gas
56,R.Y.,"My Theory Since the solution is still an aqueous solution, it can possibly conducts electrivity. Since Cu would not have displacement reaction with MgCl2. I guess Cu would have no effect on the solution of MgCl2. But you have to remember that the Mg pole has possibly died down already."
57,A.L.,"I need to understand As we have done the experiment today, i heard mr lam said it doesn't matter which fruit were used.It doesn't affect the voltage, Why ?"
58,R.N.,My Theory I guess this is because all those fruits contain electrolyte for the electron flow!? But I am not sure about it
59,V.Y.,Opinion i think it's because fruit contain either acid or salt solution in it and they provide for the electron to pass through. 
60,p.J.,"According to your answer, Mg will react with HCl and then dissolve in it. If the Mg dissolved in HCl, then the Mg pole would be disappeared. So how does the circut work if it is only with one Cu electric pole?"
61,K.K.,My Theory I think the electric circuit won't work any more as there are no electron flowing from negative electrode to positive electrode. 
62,K.K.,My Theory MgCl2 can still conduct electricity as there are magnesium ions and chloride ions. It has a giant ionic structure.
63,R.K.,"I need to understand I know lower the pH, better the conductivity and a higher voltage will be obtained, but why lower the pH vlue, better the conductivity? How could higher the hydrogen ion concentration affect the conductivity?"
64,E.M.,"I think that is because the voltage depends on which electrode we use. The larger the seperation of the two metals in the reactivity series, the higher voltage can be obtained. The fruit is just providing the ionic solution and to close the circut for the chemical cell."
65,J.W.,I need to understand What is the purpose of using the porous pot to hold the zinc sulphate solution and zinc strip?
66,T.C.,I need to understand What is the purpose of using the porous pot to hold the zinc sulphate solution and zinc strip?
67,M.H.,I need to understand What is the purpose of using the porous pot to hold the zinc sulphate solution and zinc strip?
68,G.L.,"The porous pot acts as a salt bridge. It completes the circuit by allowing ions to move between the two solutions through its small holes. In the Daniell cell, sulphate ions move from the positive electrode to the negative electrode via the porous pot, while the zinc ions move in opposite direction to maintain neutrality."
69,D.L.,"New information The Daniell cell proper consists of a central zinc anode dipping into a porous pot containing zinc solution. The porous pot is, in turn, immersed in a solution of copper contained in a copper can, which acts as the cell's cathode. The use of a porous barrier prevents the copper ions in the copper solution from reaching the zinc anode and undergoing reduction."
70,R.N.,"My Theory When the magnesium and the copper strips are dipped into the hydrochloric acid, the light bulb lighted up. The principle behind is the negative electrode (magnesium strip) donated electron to the positive electrode (copper strip) and formed hydogen gas. The above reaction produce a flow of electron and close the external circuit, therefore there's a flow of electron and the light bulb lighted up. But I would like to ask, why did the light bulb lighted up for a second or two and smoke or some fume came out from the solution as shown in the video? "
71,i.l.,"Opinion So far, you come across fruit cell, Mg-Cu cell, Daniell cell and galvanic cell. Which one do you think is more useful in powering up electrical devices ?"
72,A.L.,"My Theory Galvanic cell is made up of two different metals, and connected with a salt bridge with two cotton plugs in each side. In the video we watched, Zn and Cu were used. New information the cell is name after Luigi Galvani "
73,p.J.,"In the movie, the experiment used Mg and Cu as the positive and negative pole. As Mg will react with HCl, the Mg will then dissolve in the acid. I would like to ask can the solution conduct electricity after it changes to MgCl2 and is the set-up still functioning? If yes, will Cu affect the solution on conducting electricity?"
74,p.J.,"I need to understand As some of you said that the fruit is just act like a media for elctrons to pass through other places, then why strong acid will conduct elctricity better than weak acid? And why the types of fruit won't affect the voltage?"
75,C.M.,"I need to understand Why Mg-Cu cell need to use acid as electrolyte? The friut cell, galvanic cell, daniel cell and almost all other cell we have learnt do not use acid as electrolyte. Why can't we use Cu(NO3)2 or other solution for Mg-Cu cell? The acid may react with the metal and form sth stable. There may have less electron. for example HCl Mg + 2HCl --> MgCl2 + H2O"
76,V.N.,"I need to understand I got a further question: And does the state of the fruit affect the voltage? I mean, for example, orange and lemon are much more ""watery"" than potatoes and I heard the groups working on potatoes obtained higher max. voltage than those on oranges... "
77,V.N.,"I need to understand Do and how do the followings affect the volatge of a ""fruit cell""? 1. length of the metal electrode 2. position of the connecting wires attached to the electrode 3. separation between the two metal electrode on the fruit"
78,R.Y.,"My Theory die of cell means cell is flat, 0.8V is considered as flat of cell. "
79,E.M.,"My Theory As strong acid ionizes completely to form hydrogen ions, it has a higher concentration of hydrogen ions. It has a higher concentration of mobile ions, therefore it conducts electricity better than weak, which ionizes partially only, and has a lower concentration of mobile ions. I think it can be related to the experiment we did in the first term, concerning the electrical conductivity of strong and weak acids by observing the brightness of the light bulbs, and the chapter of weak and strong scid. And for the second question, the fruit is only providing a platform for conducting electricity. The voltage depends on which metals you use, the temperature, the size of the pieces of metals etc. The larger the seperation of the metals in the elctrochemical series, the larger the voltage will be."
80,K.K.,"I need to understand  When we checked the voltage of the chemical cell (Mg-Cu) on Monday, it falls constantly. Why? i.l. I think that the electron of magnesium is released to copper constantly. There are less and less electron flowing from magnesium to copper in the circuit. Therefore the voltage falls. Are there any other suggestions? "
81,E.M.,I need to understand I want to know why temperature or atmospheric pressure will affect the voltage reading in our fruit cell experiment? Are they related to the rate of reaction? I remember that Mr Lam mentioned that these factors will affect the results.
82,E.M.,"My Theory I think this is not possible, using copper(II) nitrate as the electrolyte. As magnesium is more reactive than copper, the magnesium ribbon will displace copper and displacement reaction will occur. The reaction occurs through this, instead of producing electricity, as the displacement reaction is more direct then losing electron from magnesium and then passing through the wire and deposit on the copper wire."
83,C.T.,"My Theory 1. The longer the strip, the larger the current. because a larger strip contains more particles(atoms?ions?) so more e- can be donated into the flow. 2. The higher(nearer to the end of the strip) the larger the current? because more of the strip can be in contact with the electrolyte and ions can exchange faster? 3. Not too large not too small separation (i.e. optimum separation) is the best? New information from: http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6TWG-3YF49J9-35&_user=10&_rdoc=1&_fmt=&_orig=search&_sort=d&view=c&_acct=C000050221&_version=1&_urlVersion=0&_userid=10&md5=6e2e59ce46c1dce3ec40fefb93627d32 ... the current increase with increasing cathode/anode area ratio but the rate of increase decreased with increasing cathode/anode ratio. The current decreased with increasing separation between the anode and cathode although the cathode elements most distant from the anode contributed a significant current."
84,D.L.,"We first cut the different kinds of fruits in different proportion. Then put a strip of magnesium and a strip of copper into the fruit. After thst connect the positive pole to copper and the negative pole to magnesium, and close the circuit with a voltmeter. We try to cut the fruit into small part, and we can find out that the size of the apple won't affect the voltage. Next we divide the metal into several pieces-for setting up more 'cell'. The result is so different from the beginning. With more sets connected, the voltage becomes higher. Finally, the maximum voltage our group get is 9.59V by connecting 3 apples, two pears, one orange and one lemon."
85,S.K.,"We first cut the different kinds of fruits in different proportion. Then put a strip of magnesium and a strip of copper into the fruit. After thst connect the positive pole to copper and the negative pole to magnesium, and close the circuit with a voltmeter. We try to cut the fruit into small part, and we can find out that the size of the apple won't affect the voltage. Next we divide the metal into several pieces-for setting up more 'cell'. The result is so different from the beginning. With more sets connected, the voltage becomes higher. Finally, the maximum voltage our group get is 9.59V by connecting 3 apples, two pears, one orange and one lemon."
86,K.K.,"We first cut the different kinds of fruits in different proportion. Then put a strip of magnesium and a strip of copper into the fruit. After thst connect the positive pole to copper and the negative pole to magnesium, and close the circuit with a voltmeter. We try to cut the fruit into small part, and we can find out that the size of the apple won't affect the voltage. Next we divide the metal into several pieces-for setting up more 'cell'. The result is so different from the beginning. With more sets connected, the voltage becomes higher. Finally, the maximum voltage our group get is 9.59V by connecting 3 apples, two pears, one orange and one lemon."
87,S.L.,"We first cut the different kinds of fruits in different proportion. Then put a strip of magnesium and a strip of copper into the fruit. After thst connect the positive pole to copper and the negative pole to magnesium, and close the circuit with a voltmeter. We try to cut the fruit into small part, and we can find out that the size of the apple won't affect the voltage. Next we divide the metal into several pieces-for setting up more 'cell'. The result is so different from the beginning. With more sets connected, the voltage becomes higher. Finally, the maximum voltage our group get is 9.59V by connecting 3 apples, two pears, one orange and one lemon."
88,A.L.,"Rose said the lower the ph, the higher the voltage. And from the previous chapter, we have learnt about it. However, i have some query Lemon and orange's ph is lower than apple and pear etc. It contradicts to what mr lam said "" doesn't matter what fruit is used"" "
89,A.L.,"-The higher the temperature, the higher the KE?therefore the electron move faster ? i am not so sure could this be linked actually. -i was thinking if i treat electron like water in a tube. If the atmospheric pressure is high,the water will move faster. So maybe electron do the same ?"
90,A.L.,1.i think the length of the metal electrode doesn't affect the voltage. Voltage depends on tendency of free electron. While the length of the electrode affect the life time of the cell instead of voltage. 2.I guess it doesn't matter where the connecting wires are placed. again because voltage is mainly affected by the tendency of electron. (not so sure) 3. maybe something to do with resistance? Or maybe a distance that the +ve amd -ve electrode can get the atoms needed easily ? Somehow related to the size of the metal strips? 
91,E.M.,"But i dont think that is the displacement reaction. My dad told me that this is the redox reaction. If displacement reaction occur, there will be no or just very very few electron passing through the wire, and theoratically it cannot produce a current"
92,i.l.,I need to understand You have raised a good discussion point in our learning syllabus. I wonder whether there is difference between displacement reaction and redox reaction. Will displacement reaction be an example of redox or redox is an example of displacement reaction ?? Is there any relationship between them ? Can you elaborate more why redox reaction can explain the flow of electron but displacement reaction cannot ?? 
93,i.l.,New information Watch the video below and describe the observations. I wonder whether this is a redox reaction. Why or why not ??
94,i.l.,New information Watch the video below and describe the observations. I wonder whether it is a redox reaction. Why or why not ??
95,i.l.,New information Watch the video below and describe the observations. I wonder whether it is a redox reaction. Why or why not?? 
96,i.l.,My Theory I agree with you that the porous pot is to separate the two solutions and complete the circuit. I need to understand What is the material of porous pot to allow certain kind of ions to pass through ? Is there any other set-up or material to replace porous pot in the Daniell cell ?? 
97,E.M.,"I think it is because when magnesium strips are dipped into the acid, hydrogen gas will be produced and escape from the solution. As magnesium has a high order in the reactivity series, it has relatively faster reaction and hydrogen gas are produced quickly and escaped quickly, which produced the fume. i.l Chemical equation Mg(s) + 2HCl(aq) ---> MgCl2(aq) + H2(g)"
98,E.M.,"I think that displacement reaction is one kind of the redox reaction. i.l. But what's involving in chemical cell is electrochemical reaction. For displacement reaction, electron flow internally, but for the chemical cell, electron flow externally and it conducts electricity in this way."
99,R.K.,"We cut our fruit into pieces and exchange with groups. Then we have pieces of oranges and lemons. Copper metal and magnesium metal, which connected to the positive and negative poles respectively, is inserted to the fruit. We then checked the voltage. We tried to cut the fruit into smaller pieces, which meant we have more fruit cell, we obtained a higher voltage. Then we tried to separate the two metals, and larger the distance, a larger voltage is obtained. Finally we obtained the maximum voltage is 10.22V with 4 lemons and 4 oranges."
100,K.H.,"We cut our fruit into pieces and exchange with groups. Then we have pieces of oranges and lemons. Copper metal and magnesium metal, which connected to the positive and negative poles respectively, is inserted to the fruit. We then checked the voltage. We tried to cut the fruit into smaller pieces, which meant we have more fruit cell, we obtained a higher voltage. Then we tried to separate the two metals, and larger the distance, a larger voltage is obtained. Finally we obtained the maximum voltage is 10.22V with 4 lemons and 4 oranges."
101,M.H.,"We cut our fruit into pieces and exchange with groups. Then we have pieces of oranges and lemons. Copper metal and magnesium metal, which connected to the positive and negative poles respectively, is inserted to the fruit. We then checked the voltage. We tried to cut the fruit into smaller pieces, which meant we have more fruit cell, we obtained a higher voltage. Then we tried to separate the two metals, and larger the distance, a larger voltage is obtained. Finally we obtained the maximum voltage is 10.22V with 4 lemons and 4 oranges."
102,J.K.,"We cut our fruit into pieces and exchange with groups. Then we have pieces of oranges and lemons. Copper metal and magnesium metal, which connected to the positive and negative poles respectively, is inserted to the fruit. We then checked the voltage. We tried to cut the fruit into smaller pieces, which meant we have more fruit cell, we obtained a higher voltage. Then we tried to separate the two metals, and larger the distance, a larger voltage is obtained. Finally we obtained the maximum voltage is 10.22V with 4 lemons and 4 oranges."
103,A.L.,our maximum voltage obtained is 8.68V. -the closer to the optimum distance between the two electrode the higher the voltage. -the more the number the cell the higher the volatege (cut the pear to pieces) -greater difference in reactivity. 
104,p.J.,our maximum voltage obtained is 8.68V. -the closer to the optimum distance between the two electrode the higher the voltage. -the more the number the cell the higher the volatege (cut the pear to pieces) -greater difference in reactivity. 
105,T.L.,our maximum voltage obtained is 8.68V. -the closer to the optimum distance between the two electrode the higher the voltage. -the more the number the cell the higher the volatege (cut the pear to pieces) -greater difference in reactivity. 
106,M.L.,our maximum voltage obtained is 8.68V. -the closer to the optimum distance between the two electrode the higher the voltage. -the more the number the cell the higher the volatege (cut the pear to pieces) -greater difference in reactivity. 
107,i.l.,"Opinion I agree with you that temperature and external pressure may affect the voltage of cell. I need to understand I am thinking whether there is linear relationship between temperature (or pressure) and voltage of cell. Besides how does pressure affects the voltage of cell ? Do you think that the cell cannot function properly (as voltage drops to zero) if the cell is brought to the cold polar places, say temperature -30C ?"
108,i.l.,"Putting our knowledge together Cherry Tam and Angie raised good responses to Vivienne's question. They came up the idea whether there is direct relationship between voltage and current of a cell. i think the length of the metal electrode doesn't affect the voltage. Voltage depends on tendency of free electron. 1 My opinion. The longer the strip, the larger the current. because a larger strip contains more particles(atoms?ions?) so more e- can be donated into the flow. 2 I guess Is is true that the higher the voltage produced, the higher the current generated in a cell ? "
109,E.M.,"Our group used only potato. We seperated the potato into 9 small pieces. For 8 of them, the negative electrode is magnesium and zinc for the remaining one. We used copper as the positive electrode for all of them. (The use of zinc was due to our running out of magnesium) We seperated the two electrode as fas as possible, because we found that the larger the seperation, the higher the voltage obtained. We also noticed that the larger the number of potato pieces are connected to the circuit, the higher the voltage is obtained. Our max. voltage obtained is 11.60V :)"
110,C.M.,"Our group used only potato. We seperated the potato into 9 small pieces. For 8 of them, the negative electrode is magnesium and zinc for the remaining one. We used copper as the positive electrode for all of them. (The use of zinc was due to our running out of magnesium) We seperated the two electrode as fas as possible, because we found that the larger the seperation, the higher the voltage obtained. We also noticed that the larger the number of potato pieces are connected to the circuit, the higher the voltage is obtained. Our max. voltage obtained is 11.60V :)"
111,H.N.,"Our group used only potato. We seperated the potato into 9 small pieces. For 8 of them, the negative electrode is magnesium and zinc for the remaining one. We used copper as the positive electrode for all of them. (The use of zinc was due to our running out of magnesium) We seperated the two electrode as fas as possible, because we found that the larger the seperation, the higher the voltage obtained. We also noticed that the larger the number of potato pieces are connected to the circuit, the higher the voltage is obtained. Our max. voltage obtained is 11.60V :)"
112,V.N.,"Our group used only potato. We seperated the potato into 9 small pieces. For 8 of them, the negative electrode is magnesium and zinc for the remaining one. We used copper as the positive electrode for all of them. (The use of zinc was due to our running out of magnesium) We seperated the two electrode as fas as possible, because we found that the larger the seperation, the higher the voltage obtained. We also noticed that the larger the number of potato pieces are connected to the circuit, the higher the voltage is obtained. Our max. voltage obtained is 11.60V :)"
113,K.W.,"My Theory First, we cut the pear into four peices. Second, we cut the magnesium strip and copper strip into four pieces. Then, stuck one magnesium strip and one copper strip into each pear. Next, connect the circuit in series which magnesium is the positve electrode and copper is the negative electrode and connect with a voltmeter. After that, we try to increase the number of cell and different distance between the cell in order to get the maximum voltage. Finally, the maximum voltage of our group is 1.723V. "
114,S.T.,"My Theory First, we cut the pear into four peices. Second, we cut the magnesium strip and copper strip into four pieces. Then, stuck one magnesium strip and one copper strip into each pear. Next, connect the circuit in series which magnesium is the positve electrode and copper is the negative electrode and connect with a voltmeter. After that, we try to increase the number of cell and different distance between the cell in order to get the maximum voltage. Finally, the maximum voltage of our group is 1.723V. "
115,D.W.,"My Theory First, we cut the pear into four peices. Second, we cut the magnesium strip and copper strip into four pieces. Then, stuck one magnesium strip and one copper strip into each pear. Next, connect the circuit in series which magnesium is the positve electrode and copper is the negative electrode and connect with a voltmeter. After that, we try to increase the number of cell and different distance between the cell in order to get the maximum voltage. Finally, the maximum voltage of our group is 1.723V. "
116,C.W.,"My Theory First, we cut the pear into four peices. Second, we cut the magnesium strip and copper strip into four pieces. Then, stuck one magnesium strip and one copper strip into each pear. Next, connect the circuit in series which magnesium is the positve electrode and copper is the negative electrode and connect with a voltmeter. After that, we try to increase the number of cell and different distance between the cell in order to get the maximum voltage. Finally, the maximum voltage of our group is 1.723V. "
117,S.K.,"yes, the hydrogen ions are realeased as hydrogen gas. That's why we can see fume after the experiment in the video. "
