î≠åæî‘çÜ,speaker,content,,,,,,,,,,,,,,,,
71,F4,"1, 2, 3, 4, 5, 6, 7, 8, 9 of an electron.",,,,,,,,,,,,,,,,
72,F2,is that the same 9.11? ,,,,,,,,,,,,,,,,
73,F4,yep,,,,,,,,,,,,,,,,
74,F4, I get 1.35x10^ *** I just ***,,,,,,,,,,,,,,,,
75,F1,it was 10^- *** it was something different.  It would be 1x10^-10.  Are you sure you are count right? ,,,,,,,,,,,,,,,,
76,F4," 1, 2, 3, 4, 5, 6, 7, 8, 9.  Yes.  ",,,,,,,,,,,,,,,,
77,F1,So its 1^-9th? ,,,,,,,,,,,,,,,,
78,F4,no 10^-9th.  1x10^-9th.  ,,,,,,,,,,,,,,,,
79,F1,ok.  You say 10.   1x10^-9 is the same exact answer.  Are you are trying to confuse me?  ,,,,,,,,,,,,,,,,
80,F4,answer is what I get  too.  ,,,,,,,,,,,,,,,,
81,F1,lambda is 1.35x10^-9. ,,,,,,,,,,,,,,,,
82,F4, well ok ***,,,,,,,,,,,,,,,,
83,F1, IÅfve been up to the board.,,,,,,,,,,,,,,,,
